Designator,Mid X,Mid Y,Rotation,Layer
01,178.77,-88.0,0.0,top
02,186.02,-88.0,0.0,top
03,193.27,-88.0,0.0,top
04,200.52,-88.0,0.0,top
05,207.77,-88.0,0.0,top
06,215.02,-88.0,0.0,top
07,222.27,-88.0,0.0,top
08,229.52,-88.0,0.0,top
09,236.77,-88.0,0.0,top
10,243.98,-88.0,0.0,top
1K,199.31,-46.75,180.0,top
C1,236.75,-51.0,90.0,top
C2,236.75,-72.75,90.0,top
J1,199.43,-37.505,180.0,top
PLUS ONE,221.25,-51.0,0.0,top
R1,177.525,-101.25,270.0,top
R10,242.75,-101.25,270.0,top
R12,244.25,-73.69,270.0,top
R2,184.75,-101.25,270.0,top
R3,192.0,-101.25,270.0,top
R4,199.25,-101.25,270.0,top
R5,206.5,-101.25,270.0,top
R6,213.75,-101.25,270.0,top
R7,221.0,-101.25,270.0,top
R8,228.25,-101.25,270.0,top
R9,235.5,-101.25,270.0,top
RESET,221.25,-72.75,0.0,top
U1,199.255,-62.5,0.0,top
